Project, Version, Jira ticket number,Jira type, Jira ticket summary text
"OPTI",OPD - iOS 1.0,OPTI-45,"Task","Check mmol/L conversion factor on Guide and Instant"
"OPTI",OPD - iOS 1.0,OPTI-43,"Bug","User able to enter food and other events when tapped on BG reading."
"OPTI",OPD - iOS 1.0,OPTI-42,"Test","View History list"
"OPTI",OPD - iOS 1.0,OPTI-41,"Story","Display landing page on first time use"
"OPTI",OPD - iOS 1.0,OPTI-40,"Story","Suspended by Investigator"
"OPTI",OPD - iOS 1.0,OPTI-38,"Bug","UI- More tab > There is a small image beside Profile Name which is not mentioned in the design."
"OPTI",OPD - iOS 1.0,OPTI-37,"Task","Create reminder time UI"
"OPTI",OPD - iOS 1.0,OPTI-36,"Story","View Profile"
"OPTI",OPD - iOS 1.0,OPTI-35,"Task","Change colors of tab bar"
"OPTI",OPD - iOS 1.0,OPTI-34,"Test","View More menu"
"OPTI",OPD - iOS 1.0,OPTI-33,"Story","Configure Touch ID"
"OPTI",OPD - iOS 1.0,OPTI-32,"Bug","Home screen should be renamed to Optidose"
"OPTI",OPD - iOS 1.0,OPTI-31,"Story","Change reminder time"
"OPTI",OPD - iOS 1.0,OPTI-30,"Test","The app shall have a tab bar for navigation"
"OPTI",OPD - iOS 1.0,OPTI-29,"Story","Deliver reminders to patient to check FBG"
"OPTI",OPD - iOS 1.0,OPTI-27,"Story","Require Touch ID/passcode to use app"
"OPTI",OPD - iOS 1.0,OPTI-26,"Story","Confirm patient details"
"OPTI",OPD - iOS 1.0,OPTI-25,"Story","Scan QR Code"
"OPTI",OPD - iOS 1.0,OPTI-23,"Task","Remove anything but insulin, BG, and notes from history list"
"OPTI",OPD - iOS 1.0,OPTI-22,"Story","The app shall have a tab bar for navigation"
"OPTI",OPD - iOS 1.0,OPTI-21,"Story","Select meter"
"OPTI",OPD - iOS 1.0,OPTI-19,"Story","Set Reminder Time"
"OPTI",OPD - iOS 1.0,OPTI-18,"Story","Display next steps screen to the user"
"OPTI",OPD - iOS 1.0,OPTI-17,"Task","Remove meal tags"
"OPTI",OPD - iOS 1.0,OPTI-16,"Story","View Home screen"
"OPTI",OPD - iOS 1.0,OPTI-15,"Story","View More menu"
"OPTI",OPD - iOS 1.0,OPTI-13,"Story","Set Injection Day"
"OPTI",OPD - iOS 1.0,OPTI-12,"Story","Pair Accu-Chek Guide"
"OPTI",OPD - iOS 1.0,OPTI-9,"Technical task","Create new app center and bitrise builds"
"OPTI",OPD - iOS 1.0,OPTI-8,"Technical task","Create new app id, certificates and provisioning profile"
"OPTI",OPD - iOS 1.0,OPTI-7,"Technical task","Rename app, bundle id, and remove additional targets"
"OPTI",OPD - iOS 1.0,OPTI-6,"Technical task","Glooko Lite POC"
"OPTI",OPD - iOS 1.0,OPTI-5,"Technical task","Remove unused code from app"
"OPTI",OPD - iOS 1.0,OPTI-4,"Task","Remove Add Event Button from Tab bar"
"OPTI",OPD - iOS 1.0,OPTI-3,"Task","Remove Graphs History List"
"OPTI",OPD - iOS 1.0,OPTI-2,"Task","Remove Graphs Tab"
"OPTI",OPD - iOS 1.0,OPTI-1,"Task","Remove unused options from More Menu and Profile"
